,YEAR,BOARDS,ALIGHTS
103rd Street (Beverly Hills),2018,734,731
103rd Street (Beverly Hills),2016,759,754
103rd Street (Beverly Hills),2014,767,806
103rd Street (Beverly Hills),2006,1150,1210
103rd Street (Beverly Hills),2002,977,986
103rd Street (Beverly Hills),1999,969,964
103rd Street (Beverly Hills),1997,987,939
103rd Street (Beverly Hills),1995,1026,1033
103rd Street (Beverly Hills),1993,1036,1077
103rd Street (Beverly Hills),1991,1081,1127
103rd Street (Beverly Hills),1989,1205,1185
103rd Street (Beverly Hills),1987,1206,1227
103rd Street (Beverly Hills),1985,1216,1202
103rd Street (Beverly Hills),1983,1085,1151
103rd Street (Beverly Hills),1979,1432,0
103rd Street (Rosemoor),2018,36,34
103rd Street (Rosemoor),2016,37,42
103rd Street (Rosemoor),2014,43,60
103rd Street (Rosemoor),2006,70,75
103rd Street (Rosemoor),2002,82,80
103rd Street (Rosemoor),1999,67,81
103rd Street (Rosemoor),1997,96,66
103rd Street (Rosemoor),1995,77,82
103rd Street (Rosemoor),1993,76,83
103rd Street (Rosemoor),1991,91,59
103rd Street (Rosemoor),1989,74,68
103rd Street (Rosemoor),1987,51,61
103rd Street (Rosemoor),1985,27,51
103rd Street (Rosemoor),1983,17,27
103rd Street (Rosemoor),1979,72,0
107th Street,2018,27,23
107th Street,2016,19,27
107th Street,2014,31,38
107th Street,2006,34,39
107th Street,2002,28,31
107th Street,1999,46,49
107th Street,1997,43,31
107th Street,1995,36,42
107th Street,1993,39,38
107th Street,1991,54,50
107th Street,1989,48,46
107th Street,1987,37,35
107th Street,1985,32,32
107th Street,1983,18,26
107th Street,1979,33,0
107th Street (Beverly Hills),2018,395,368
107th Street (Beverly Hills),2016,451,465
107th Street (Beverly Hills),2014,413,395
107th Street (Beverly Hills),2006,617,603
107th Street (Beverly Hills),2002,668,645
107th Street (Beverly Hills),1999,628,621
107th Street (Beverly Hills),1997,544,533
107th Street (Beverly Hills),1995,588,602
107th Street (Beverly Hills),1993,655,612
107th Street (Beverly Hills),1991,681,687
107th Street (Beverly Hills),1989,754,730
107th Street (Beverly Hills),1987,626,556
107th Street (Beverly Hills),1985,494,474
107th Street (Beverly Hills),1983,435,413
107th Street (Beverly Hills),1979,447,0
111th Street,2018,31,49
111th Street,2016,24,38
111th Street,2014,19,34
111th Street,2006,27,37
111th Street,2002,22,22
111th Street,1999,45,58
111th Street,1997,64,50
111th Street,1995,41,47
111th Street,1993,48,50
111th Street,1991,53,43
111th Street,1989,57,56
111th Street,1987,42,52
111th Street,1985,48,93
111th Street,1983,46,44
111th Street,1979,76,0
111th Street (Morgan Park),2018,548,497
111th Street (Morgan Park),2016,587,545
111th Street (Morgan Park),2014,601,558
111th Street (Morgan Park),2006,820,736
111th Street (Morgan Park),2002,875,848
111th Street (Morgan Park),1999,889,906
111th Street (Morgan Park),1997,774,786
111th Street (Morgan Park),1995,796,809
111th Street (Morgan Park),1993,940,899
111th Street (Morgan Park),1991,1029,1036
111th Street (Morgan Park),1989,1176,1130
111th Street (Morgan Park),1987,946,956
111th Street (Morgan Park),1985,862,850
111th Street (Morgan Park),1983,766,753
111th Street (Morgan Park),1979,1030,0
115th Street (Morgan Park),2018,136,130
115th Street (Morgan Park),2016,170,167
115th Street (Morgan Park),2014,173,173
